SUBDIVISION,YEAR,FORECAST_RAINFALL
Sub Himalayan West Bengal & Sikkim,2018,2554.165771484375
Sub Himalayan West Bengal & Sikkim,2019,2536.024169921875
Sub Himalayan West Bengal & Sikkim,2020,2574.42431640625
Sub Himalayan West Bengal & Sikkim,2021,2744.025146484375
Sub Himalayan West Bengal & Sikkim,2022,2705.03857421875
Sub Himalayan West Bengal & Sikkim,2023,2613.72021484375
Sub Himalayan West Bengal & Sikkim,2024,2818.12060546875
Sub Himalayan West Bengal & Sikkim,2025,2736.239013671875
Sub Himalayan West Bengal & Sikkim,2026,2878.74072265625
Sub Himalayan West Bengal & Sikkim,2027,2734.17431640625
Sub Himalayan West Bengal & Sikkim,2028,2832.23388671875
Sub Himalayan West Bengal & Sikkim,2029,2743.893798828125
Sub Himalayan West Bengal & Sikkim,2030,2850.05859375
Tamil Nadu,2018,837.1534423828125
Tamil Nadu,2019,887.9151611328125
Tamil Nadu,2020,925.287841796875
Tamil Nadu,2021,888.0001220703125
Tamil Nadu,2022,907.58892822265625
Tamil Nadu,2023,893.57269287109375
Tamil Nadu,2024,897.64910888671875
Tamil Nadu,2025,896.6768798828125
Tamil Nadu,2026,888.74835205078125
Tamil Nadu,2027,869.19781494140625
Tamil Nadu,2028,912.7637939453125
Tamil Nadu,2029,909.48004150390625
Tamil Nadu,2030,882.83209228515625
Telangana,2018,976.4918212890625
Telangana,2019,930.06842041015625
Telangana,2020,912.36578369140625
Telangana,2021,1009.5056762695313
Telangana,2022,848.3079833984375
Telangana,2023,957.9654541015625
Telangana,2024,985.8797607421875
Telangana,2025,948.474365234375
Telangana,2026,1047.63916015625
Telangana,2027,1022.6676025390625
Telangana,2028,1054.9007568359375
Telangana,2029,1069.289794921875
Telangana,2030,1095.114013671875
Uttarakhand,2018,1489.9268798828125
Uttarakhand,2019,1456.9976806640625
Uttarakhand,2020,1516.575439453125
Uttarakhand,2021,1556.8995361328125
Uttarakhand,2022,1601.679443359375
Uttarakhand,2023,1779.4349365234375
Uttarakhand,2024,1819.5206298828125
Uttarakhand,2025,2080.047119140625
Uttarakhand,2026,2067.183837890625
Uttarakhand,2027,2312.168212890625
Uttarakhand,2028,2398.786376953125
Uttarakhand,2029,2535.024169921875
Uttarakhand,2030,2624.875244140625
Vidarbha,2018,1079.8929443359375
Vidarbha,2019,1093.26220703125
Vidarbha,2020,924.32916259765625
Vidarbha,2021,1094.7025146484375
Vidarbha,2022,1065.979248046875
Vidarbha,2023,974.7152099609375
Vidarbha,2024,1105.4429931640625
Vidarbha,2025,1046.413818359375
Vidarbha,2026,1062.5714111328125
Vidarbha,2027,1051.217529296875
Vidarbha,2028,1090.0133056640625
Vidarbha,2029,1062.033203125
Vidarbha,2030,1075.66943359375
West Madhya Pradesh,2018,1021.2286987304688
West Madhya Pradesh,2019,952.0155029296875
West Madhya Pradesh,2020,1013.3577270507813
West Madhya Pradesh,2021,1040.150146484375
West Madhya Pradesh,2022,1032.9583740234375
West Madhya Pradesh,2023,1073.18505859375
West Madhya Pradesh,2024,1074.9180908203125
West Madhya Pradesh,2025,1086.3109130859375
West Madhya Pradesh,2026,1067.4866943359375
West Madhya Pradesh,2027,1067.362060546875
West Madhya Pradesh,2028,1083.3272705078125
West Madhya Pradesh,2029,1076.73388671875
West Madhya Pradesh,2030,1073.4339599609375
West Rajasthan,2018,436.0998840332031
West Rajasthan,2019,416.44525146484375
West Rajasthan,2020,485.9393005371094
West Rajasthan,2021,534.4671630859375
West Rajasthan,2022,472.0320739746094
West Rajasthan,2023,517.223876953125
West Rajasthan,2024,514.41351318359375
West Rajasthan,2025,537.74169921875
West Rajasthan,2026,555.873291015625
West Rajasthan,2027,579.60772705078125
West Rajasthan,2028,626.2119140625
West Rajasthan,2029,594.37310791015625
West Rajasthan,2030,629.39837646484375
West Uttar Pradesh,2018,651.47943115234375
West Uttar Pradesh,2019,645.77984619140625
West Uttar Pradesh,2020,639.59027099609375
West Uttar Pradesh,2021,644.94970703125
West Uttar Pradesh,2022,668.05108642578125
West Uttar Pradesh,2023,635.28515625
West Uttar Pradesh,2024,634.5081787109375
West Uttar Pradesh,2025,668.05450439453125
West Uttar Pradesh,2026,661.4200439453125
West Uttar Pradesh,2027,631.5679931640625
West Uttar Pradesh,2028,642.8809814453125
West Uttar Pradesh,2029,668.05450439453125
West Uttar Pradesh,2030,656.14654541015625
