SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,Rainfall_Category,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_5
Andaman & Nicobar Islands,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3,Heavy Rainfall,NA,NA,NA,NA,NA
Andaman & Nicobar Islands,1902,0,159.8,12.2,0,446.1,537.1,228.9,753.7,666.2,197.2,359,160.5,3520.7,159.8,458.3,2185.9,716.7,Heavy Rainfall,3373.2,NA,NA,NA,NA
Andaman & Nicobar Islands,1903,12.7,144,0,1,235.1,479.9,728.4,326.7,339,181.2,284.4,225,2957.4,156.7,236.1,1874,690.6,Heavy Rainfall,3520.7,3373.2,NA,NA,NA
Andaman & Nicobar Islands,1904,9.4,14.7,0,202.4,304.5,495.1,502,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571,Heavy Rainfall,2957.4,3520.7,3373.2,3283.7666666666664,NA
Andaman & Nicobar Islands,1905,1.3,0,3.3,26.9,279.5,628.7,368.7,330.5,297,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8,Heavy Rainfall,3079.6,2957.4,3520.7,3185.9,NA
Andaman & Nicobar Islands,1906,36.6,0,0,0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9,Heavy Rainfall,2566.7,3079.6,2957.4,2867.9,3099.52
Andaman & Nicobar Islands,1907,110.7,0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9,Heavy Rainfall,2534.4,2566.7,3079.6,2726.9,2931.7599999999998
Andaman & Nicobar Islands,1908,20.9,85.1,0,29,562,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106,591,2303.7,575.7,Heavy Rainfall,3347.9,2534.4,2566.7,2816.3333333333335,2897.2
Andaman & Nicobar Islands,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701,629,Heavy Rainfall,3576.4,3347.9,2534.4,3152.9,3021
Andaman & Nicobar Islands,1911,0,8.4,0,122.5,327.3,649,253,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4,Heavy Rainfall,2899.4,3576.4,3347.9,3274.5666666666666,2984.96
Andaman & Nicobar Islands,1912,583.7,0.8,0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,584.5,162.6,1775.2,438.2,Heavy Rainfall,2687.2,2899.4,3576.4,3054.3333333333335,3009.06
Andaman & Nicobar Islands,1913,84.8,0.5,1.3,2.5,190.7,530,280.8,205.8,580.1,288.8,133,67.5,2365.8,85.3,194.5,1596.7,489.3,Heavy Rainfall,2960.5,2687.2,2899.4,2849.0333333333333,3094.28
Andaman & Nicobar Islands,1914,0,0,0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0,336.5,2007.4,613.9,Heavy Rainfall,2365.8,2960.5,2687.2,2671.1666666666665,2897.86
